title,author,source,data,KnowledgeNetcont,downloadCount
开展物理综合实践活动对学习的影响,贾舒涵; 陈丽娟,,2020-04-15,0,264
基于计算机视觉的绿茶炒干中在制品理化变化研究,伍洵;刘飞;陈之威;王玉婉;陈琳;涂政;周小芬;杨云飞;叶阳;童华荣,茶叶科学,2020-04-12,0,0
采用极限梯度提升算法的电力系统电压稳定裕度预测,王慧芳; 张晨宇,浙江大学学报(工学版),2020-04-10,0,0
人工智能参与发明的授权问题探究,李想,科技进步与对策,2020-04-10,0,0
智能时代传播学受众与效果研究：理论、方法与展望——与香港城市大学祝建华教授、斯坦福大学杰佛瑞·汉考克教授对谈,李晓静; 付思琪,国际新闻界,2020-04-10,0,0
人工智能对制造业企业是否存在“生产率悖论”,范晓男; 孟繁琨; 鲍晓娜; 曲刚,科技进步与对策,2020-04-10,0,0
发明人角色识别及二元创新能力差异分析——基于社会资本视角,荣雪云; 杨中楷; 刘娜,科技进步与对策,2020-04-10,0,0
人工智能时代的劳动力市场综合治理：挑战与政策工具,赵欣彤; 杨燕绥,中国行政管理,2020-04-10,0,0
人工智能时代的行政价值：变革与调适,赫郑飞,中国行政管理,2020-04-10,0,0
基于深度学习的特高压直流闭锁故障智能调度决策,杨晓楠; 孙博; 郎燕生,中国电力,2020-04-10,0,0
协同创新视角下技术机会识别模型——以中国智能机器人为例,江曼; 孙明汉; 余翔; 张奔,情报杂志,2020-04-10,0,0
技术革新催生16个新职业,,质量与认证,2020-04-10,0,0
机器人焊接工作站在汽车制造中的应用,陈鹏,集成电路应用,2020-04-10,0,0
当电视传播业遇上人工智能（AI）——技术本质和产业逻辑的冲突与融合,王朋进; 刘晶,视听界,2020-04-10,0,0
智能机器生产的“实然”与“应然”,栾轶玫,视听界,2020-04-10,0,0
激发新动能 释放高质量发展潜力,北京市习近平新时代中国特色社会主义思想研究中心 执笔 马一德,经济日报,2020-04-10,0,0
培育工业互联网产业新生态 推动“新基建”多领域融合发展,中国工业互联网研究院院长 徐晓兰,科技日报,2020-04-10,0,0
从消毒机器人登场说起,董文韬,中国国防报,2020-04-10,0,0
Artificial IntelligenceAnalysis of Gene Expression Data Predicted the Prognosis of Patients with Diffuse Large B-Cell Lymphoma.,Carreras Joaquim;;Hamoudi Rifat;;Nakamura Naoya,,2020-04-10,0,0
"Use ofartificial intelligencefor the estimation of effective moisture diffusivity, specific energy consumption, color and shrinkage in quince drying",Ebrahim Taghinezhad;;Mohammad Kaveh;;Ahmad Jahanbakhshi;;Iman Golpour,,2020-04-10,0,0
"Data, Predictive Maintenance Promise Operational Benefits",Andrew Chastain Howley;;Jeff Stillman,,2020-04-10,0,0
Washington View: Preparing for the workplace of the future,Maria Ferguson,,2020-04-10,0,0
人工智能创作物思想与表达二分法问题研究,刘强; 刘忠优,大连理工大学学报(社会科学版),2020-04-09,0,0
基于人工神经网络的锅炉燃烧智能化系统,姚金坤; 姚博,热能动力工程,2020-04-09,0,0
以融合正义重构人工智能司法的逻辑,毛高杰,河北法学,2020-04-09,0,0
人工智能的负外部性及其经济法规制,胡元聪; 廖娟,大连理工大学学报(社会科学版),2020-04-09,0,0
智能光子处理系统：概念与研究进展,邹卫文; 马伯文; 徐绍夫,中兴通讯技术,2020-04-09,0,0
当阅读遇上智能技术：数字时代内容出版的机遇与挑战,沈浩; 元方,现代出版,2020-04-09,0,0
从辅助到共存：智能编辑与人工编辑的关系新论,万安伦; 常晋; 都芃,现代出版,2020-04-09,0,0
人工智能时代出版流程再造的机遇与挑战,陈进才,现代出版,2020-04-09,0,0
改进蚁群优化算法的移动机器人路径规划研究,刘永建; 曾国辉; 黄勃,传感器与微系统,2020-04-09,0,0
金融科技时代银行业发展与监管,武琨,中国市场,2020-04-09,0,0
区块链技术与医疗健康大数据应用简析,熊辉; 郭兴元; 康娟,中国市场,2020-04-09,0,0
浅谈新形势下代理记账公司降低成本的措施,徐春梅,中外企业家,2020-04-09,0,0
人工智能在中医研究中的应用研究,苗耀锋,中外企业家,2020-04-09,0,0
传化智联用科技赋能产业升级,本报记者 吴奕萱 见习记者 冯思婕,证券日报,2020-04-09,0,0
“新基建”的新机遇,陈艳,陕西日报,2020-04-09,0,0
发力“新基建”是实现多重战略目标的关键之举,国务院发展研究中心企业研究所 马源,人民邮电,2020-04-09,0,0
"Homes, Communities and Games: Constructing Social Agency in Our Urban Futures",Shajay Bhooshan;;Alicia Nahmad Vazquez,,2020-04-09,0,0
Identifying epilepsy psychiatric comorbidities with machine learning,Tracy Glauser;;Daniel Santel;;Melissa DelBello;;Robert Faist;;Tonia Toon;;Peggy Clark;;Rachel McCourt;;Benjamin Wissel;;John Pestian,,2020-04-09,0,0
A novel optimal PID controller autotuning design based on the SLP algorithm,Jirapun Pongfai;;Xiaojie Su;;Huiyan Zhang;;Wudhichai Assawinchaichote,,2020-04-09,0,0
教育人工智能：前沿进展与机遇挑战,刘进; 钟小琴; 李学坪,高等工程教育研究,2020-04-08,0,73
基于CT的直肠癌新辅助化疗后病理完全缓解预测模型的初步探索——DACCA数据库的联合研究,李芊;周逸菲;李峥艳;汪晓东;高绍兵;李立,中国普外基础与临床杂志,2020-04-08,0,15
新工科建设内涵解析及实践探索,郑庆华,高等工程教育研究,2020-04-08,0,21
基于政府监管视角的北京市“新零售”行业发展研究,温春娟,中国市场,2020-04-08,0,10
提速数字基建 激活高质量发展源动力,徐晓兰 中国工业互联网研究院院长,中国工业报,2020-04-08,0,0
新基建要建三张网 工业互联网赛道变宽,中国工业报 周宝冰,中国工业报,2020-04-08,0,0
提高科技信息化水平 防范化解系统性风险,应急管理部化学品登记中心副主任 曹永友,中国应急管理报,2020-04-08,0,0
中国信息化发展八大趋势,陆峰,学习时报,2020-04-08,0,0
Scoring endoscopic disease activity in IBD:artificial intelligencesees more and better than we do.,Bossuyt Peter;;Vermeire Séverine;;Bisschops Raf,,2020-04-08,0,0
Artificial IntelligentVirtual Assistant for Plastic Surgery Patient's Frequently Asked Questions: A Pilot Study.,Boczar Daniel;;Sisti Andrea;;Oliver Jeremie D;;Helmi Haytham;;Restrepo David J;;Huayllani Maria T;;Spaulding Aaron C;;Carter Rickey;;Rinker Brian D;;Forte Antonio Jorge,,2020-04-08,0,0
Artificial intelligence-guided tissue analysis combined with immune infiltrate assessment predicts stage III colon cancer outcomes in PETACC08 study.,Reichling Cynthia;;Taieb Julien;;Derangere Valentin;;Klopfenstein Quentin;;Le Malicot Karine;;Gornet Jean-Marc;;Becheur Hakim;;Fein Francis;;Cojocarasu Oana;;Kaminsky Marie Christine;;Lagasse Jean Paul;;Luet Dominique;;Nguyen Suzanne;;Etienne Pierre-Luc;;Gasmi Mohamed;;Vanoli Andre;;Perrier Hervé;;Puig Pierre-Laurent;;Emile Jean-François;;Lepage Come;;Ghiringhelli François,,2020-04-08,0,0
"Ethical concerns around use ofartificial intelligencein health care research from the perspective of patients with meningioma, caregivers and health care providers: a qualitative study.",McCradden Melissa D;;Baba Ami;;Saha Ashirbani;;Ahmad Sidra;;Boparai Kanwar;;Fadaiefard Pantea;;Cusimano Michael D,,2020-04-08,0,0
"Editorial: When Data Science, Humanities and Social Sciences Meet: Cross-Talks and Insights in Public Health.",Lefèvre Thomas;;de Montgolfier Sandrine,,2020-04-08,0,0
The application ofartificial intelligence(AI) techniques to identify frailty within a residential aged care administrative data set.,Ambagtsheer R C;;Shafiabady N;;Dent E;;Seiboth C;;Beilby J,,2020-04-08,0,0
Comparison of supervised machine learning classification techniques in prediction of locoregional recurrences in early oral tongue cancer.,Alabi Rasheed Omobolaji;;Elmusrati Mohammed;;Sawazaki-Calone Iris;;Kowalski Luiz Paulo;;Haglund Caj;;Coletta Ricardo D;;Mäkitie Antti A;;Salo Tuula;;Almangush Alhadi;;Leivo Ilmo,,2020-04-08,0,0
Predicting or Pretending:Artificial Intelligencefor Protein-Ligand Interactions Lack of Sufficiently Large and Unbiased Datasets.,Yang Jincai;;Shen Cheng;;Huang Niu,,2020-04-08,0,0
Incorporating domain knowledge into reinforcement learning to expedite welding sequence optimization,Jesus Romero-Hdz;;Baidya Nath Saha;;Seiichiro Tstutsumi;;Riccardo Fincato,,2020-04-08,0,0
Forecastingartificial intelligenceon online customer assistance: Evidence from chatbot patents analysis,Eleonora Pantano;;Gabriele Pizzi,,2020-04-08,0,0
Review of predicting the blast-induced ground vibrations to reduce impacts on ambient urban communities,Yu Yan;;Xiaomeng Hou;;Honglu Fei,,2020-04-08,0,0
"Systematizing heterogeneous expert knowledge, scenarios and goals via a goal-reasoningartificial intelligenceagent for democratic urban land use planning",Weizhen Chen;;Liang Zhao;;Qi Kang;;Fan Di,,2020-04-08,0,0
Precision versusintelligence: Autonomous supporting pressure balance control for slurry shield tunnel boring machines,Yakun Zhang;;Guofang Gong;;Huayong Yang;;Wenjing Li;;Jian Liu,,2020-04-08,0,0
An efficient Long Short-Term Memory model based on Laplacian Eigenmap inartificialneural networks,Fang Hu;;Yanhui Zhu;;Jia Liu;;Liuhuan Li,,2020-04-08,0,0
Experimental and analytical investigation of chemical anchors’s behaviour under axial tensile,Abdullah Müsevitoğlu;;Musa Hakan Arslan;;Ceyhun Aksoylu;;Ahmet Özkış,,2020-04-08,0,0
Design of prefabricated wall-floor building systems using meta-heuristic optimization algorithms,Abtin Baghdadi;;Mahmoud Heristchian;;Harald Kloft,,2020-04-08,0,0
A methodological comparison of head-cut based gully erosion susceptibility models: Combined use of statistical andartificial intelligence,Alireza Arabameri;;Artemi Cerda;;Biswajeet Pradhan;;John P. Tiefenbacher;;Luigi Lombardo;;Dieu Tien Bui,,2020-04-08,0,0
Architectures and algorithms of an autonomous small-scale drilling agent,Suranga Chaminda Hemba Geekiyanage;;Erik A. Loeken;;Dan Sui,,2020-04-08,0,0
Spiral drawing: Quantitative analysis andartificial-intelligence-based diagnosis using a smartphone,Nobuyuki Ishii;;Yuki Mochizuki;;Kazutaka Shiomi;;Masamitsu Nakazato;;Hitoshi Mochizuki,,2020-04-08,0,0
Batch repair actions for automated troubleshooting,Hilla Shinitzky;;Roni Stern,,2020-04-08,0,0
Photovoltaic power forecast using empirical models andartificial intelligenceapproaches for water pumping systems,Rim Ben Ammar;;Mohsen Ben Ammar;;Abdelmajid Oualha,,2020-04-08,0,0
Optimal power flow using the AMTPG-Jaya algorithm,Warid Warid,,2020-04-08,0,0
Construction and evaluation of gold standards for patent classification—A case study on quantum computing,Steve Harris;;Anthony Trippe;;David Challis;;Nigel Swycher,,2020-04-08,0,0
Artificial intelligencein medical imaging,John C. Gore,,2020-04-08,0,0
"Ice jam formation, breakup and prediction methods based on hydroclimatic data usingartificial intelligence: A review",Fatemehalsadat Madaeni;;Rachid Lhissou;;Karem Chokmani;;Sebastien Raymond;;Yves Gauthier,,2020-04-08,0,0
Automatic generation of building information models from digitized plans,Omar Doukari;;David Greenwood,,2020-04-08,0,0
Prediction of bearing failures by the analysis of the time series,Abdenour Soualhi;;Kamal Medjaher;;Guy Celrc;;Hubert Razik,,2020-04-08,0,0
A lesson in implementation: A pre-post study of providers’ experience withartificial intelligence-based clinical decision support,Santiago Romero-Brufau;;Kirk D. Wyatt;;Patricia Boyum;;Mindy Mickelson;;Matthew Moore;;Cheristi Cognetta-Rieke,,2020-04-08,0,0
A one-class classification decision tree based on kernel density estimation,Sarah Itani;;Fabian Lecron;;Philippe Fortemps,,2020-04-08,0,0
Modeling relative permeability of gas condensate reservoirs: Advanced computational frameworks,Mehdi Mahdaviara;;Nait Amar Menad;;Mohammad Hossein Ghazanfari;;Abdolhossein Hemmati-Sarapardeh,,2020-04-08,0,0
Comparative study for 8 computationalintelligencealgorithms forhumanidentification,Shaymaa Adnan Abdulrahman;;Wael Khalifa;;Mohamed Roushdy;;Abdel-Badeeh M. Salem,,2020-04-08,0,0
Artificial intelligencemodels to predict acute phytotoxicity in petroleum contaminated soils,Dmitrii Shadrin;;Mariia Pukalchik;;Ekaterina Kovaleva;;Maxim Fedorov,,2020-04-08,0,0
Real time nuclear power plant operating state cognitive algorithm development using dynamic Bayesian network,ChoHwan Oh;;Jeong Ik Lee,,2020-04-08,0,0
"3rd Revenue Management & Pricing in Services Conference (2019 RevME Europe) 2–3 December, Ecole hôtelière de Lausanne, Switzerland",Cindy Yoonjoung Heo;;Isabella Blengini,,2020-04-08,0,0
Artificial Intelligenceand Machine Learning: A New Disruptive Force in Orthopaedics,Murali Poduval;;Avik Ghose;;Sanjeev Manchanda;;Vaibhav Bagaria;;Aniruddha Sinha,,2020-04-08,0,0
A deep learning framework for clickbait detection on social area network using natural language cues,Bilal Naeem;;Aymen Khan;;Mirza Omer Beg;;Hasan Mujtaba,,2020-04-08,0,0
Ethical and legal considerations ofartificial intelligenceand algorithmic decision-making in personalized pricing,Joshua A. Gerlick;;Stephan M. Liozu,,2020-04-08,0,0
Ethical Conundrums and Virtual Humans,John Reader;;Maggi Savin-Baden,,2020-04-08,0,0
Automated differentiation of benign renal oncocytoma and chromophobe renal cell carcinoma on computed tomography using deep learning,Amir Baghdadi;;Naif A. Aldhaam;;Ahmed S. Elsayed;;Ahmed A. Hussein;;Lora A. Cavuoto;;Eric Kauffman;;Khurshid A. Guru,,2020-04-08,0,0
IntegratingArtificial Intelligenceand Nanotechnology for Precision Cancer Medicine,Omer Adir;;Maria Poley;;Gal Chen;;Sahar Froim;;Nitzan Krinsky;;Jeny Shklover;;Janna Shainsky‐Roitman;;Twan Lammers;;Avi Schroeder,,2020-04-08,0,0
Cancer Treatment: IntegratingArtificial Intelligenceand Nanotechnology for Precision Cancer Medicine (Adv. Mater. 13/2020),Omer Adir;;Maria Poley;;Gal Chen;;Sahar Froim;;Nitzan Krinsky;;Jeny Shklover;;Janna Shainsky‐Roitman;;Twan Lammers;;Avi Schroeder,,2020-04-08,0,0
Advances in Quantitative Bioimage Analysis for Proteins and Cells,Marc Thilo Figge,,2020-04-08,0,0
“大科学时代的科教融合与创新发展”暨第十四届科教发展战略国际研讨会综述,张炜; 庄逸雪; 周翔宇; 毛笛,高等工程教育研究,2020-04-07,0,13
2019年智能传播的八个研究领域分析,张洪忠; 兰朵; 武沛颍,全球传媒学刊,2020-04-07,0,73
从自由意志谈人工智能的法律主体资格,骆正言,湖南社会科学,2020-04-07,0,36
新型基础设施建设的投融资模式与路径探索,盛磊; 杨白冰,改革,2020-04-07,0,91
机器人权利生成的多重理路梳理及评析,胡元聪,学习与探索,2020-04-07,0,20
基于多Agent的变电站继电保护研究,陈康,华东交通大学,2020-04-07,0,0
发展人工智能优化就业结构,合肥工业大学经济学院 吴飞飞,安徽日报,2020-04-07,0,57
人工智能助力体育发展,中国人民大学外国语学院 陶晓 首都体育学院武术与表演学院 陈星,中国社会科学报,2020-04-07,0,0
积极预防人工智能负面效应,黑龙江大学俄罗斯语言文学与文化研究中心、法学院 宫楠,中国社会科学报,2020-04-07,0,0
做好教师角色转变 应对人工智能挑战,南京师范大学外国语学院 董晓波 詹娇娇,中国社会科学报,2020-04-07,0,0
抓住5G建设先机 推动5G商用先行,徐补生,山西日报,2020-04-07,0,0
"Payment Reform in the Era of Advanced Diagnostics,Artificial Intelligence, and Machine Learning.",Sorace James,,2020-04-07,0,0
Editorial: Digital Interventions in Mental Health: Current Status and Future Directions.,Aboujaoude Elias;;Gega Lina;;Parish Michelle B;;Hilty Donald M,,2020-04-07,0,0
Ethical principles for the application ofartificial intelligence(AI) in nuclear medicine.,Currie Geoff;;Hawk K Elizabeth;;Rohren Eric M,,2020-04-07,0,0
Automated volumetric assessment withartificialneural networks might enable a more accurate assessment of disease burden in patients with multiple sclerosis.,Brugnara Gianluca;;Isensee Fabian;;Neuberger Ulf;;Bonekamp David;;Petersen Jens;;Diem Ricarda;;Wildemann Brigitte;;Heiland Sabine;;Wick Wolfgang;;Bendszus Martin;;Maier-Hein Klaus;;Kickingereder Philipp,,2020-04-07,0,0
Symposium review: Real-time continuous decision making using big data on dairy farms.,Cabrera Victor E;;Barrientos-Blanco Jorge A;;Delgado Hector;;Fadul-Pacheco Liliana,,2020-04-07,0,0
Artificial Intelligence-Driven Structurization of Diagnostic Information in Free-Text Pathology Reports.,Giannaris Pericles S;;Al-Taie Zainab;;Kovalenko Mikhail;;Thanintorn Nattapon;;Kholod Olha;;Innokenteva Yulia;;Coberly Emily;;Frazier Shellaine;;Laziuk Katsiarina;;Popescu Mihail;;Shyu Chi-Ren;;Xu Dong;;Hammer Richard D;;Shin Dmitriy,,2020-04-07,0,0
Learning of Signaling Networks: Molecular Mechanisms.,Csermely Péter;;Kunsic Nina;;Mendik Péter;;Kerestély Márk;;Faragó Teodóra;;Veres Dániel V;;Tompa Péter,,2020-04-07,0,0
Accurate prediction of responses to transarterial chemoembolization for patients with hepatocellular carcinoma by usingartificial intelligencein contrast-enhanced ultrasound.,Liu Dan;;Liu Fei;;Xie Xiaoyan;;Su Liya;;Liu Ming;;Xie Xiaohua;;Kuang Ming;;Huang Guangliang;;Wang Yuqi;;Zhou Hui;;Wang Kun;;Lin Manxia;;Tian Jie,,2020-04-07,0,0
Test-retest reproducibility of a deep learning-based automatic detection algorithm for the chest radiograph.,Kim Hyungjin;;Park Chang Min;;Goo Jin Mo,,2020-04-07,0,0
端粒缩短和p53-p21相关通路蛋白在苯并[a]芘致小鼠学习记忆损伤中的作用,张瑾琰; 魏建宏,解剖学报,2020-04-06,0,0
新技术&新标准 助力开放获取更进一步,编译 樊文,国际出版周报,2020-04-06,0,0
美国促进人工智能产业发展的五点启示,赛迪智库副研究员 朱帅,国际金融报,2020-04-06,0,0
四大城市群“新基建”竞争：七大领域各有优势，城市格局迎洗牌,21世纪经济研究院研究员 刘美琳,21世纪经济报道,2020-04-06,0,0
Can online support groups address psychological morbidity of cancer patients? Anartificial intelligencebased investigation of prostate cancer trajectories.,Adikari Achini;;de Silva Daswin;;Ranasinghe Weranja K B;;Bandaragoda Tharindu;;Alahakoon Oshadi;;Persad Raj;;Lawrentschuk Nathan;;Alahakoon Damminda;;Bolton Damien,,2020-04-06,0,0
影响未来高等教育教学的宏观趋势、技术实践和未来场景——《2020年EDUCAUSE地平线报告(教学版)》要点与思考,兰国帅; 郭倩; 张怡; 孔雪柯; 钟秋菊,开放教育研究,2020-04-05,0,53
智能教育机器人系统构建及关键技术——以“智慧学伴”机器人为例,卢宇; 薛天琪; 陈鹏鹤; 余胜泉,开放教育研究,2020-04-05,0,19
人工智能在作战仿真中的应用研究,付长军; 郑伟明; 葛蕾; 刘海娟,无线电工程,2020-04-05,0,1
一种高效率的多智能体协作学习通信机制,赵宇航; 马修军,信息安全研究,2020-04-05,0,0
5G时代下的新远程移动办公场景需求与支撑技术,刘京; 李阳; 时博涵,信息安全研究,2020-04-05,0,0
支持科技型企业复工复产，上海打好政策“组合拳”,,华东科技,2020-04-05,0,0
科技部：支持济南等地建设国家新一代人工智能创新发展试验区,,华东科技,2020-04-05,0,0
三大产业“疫后超车”,俞灵琦; 费晓蕾; 管浩,华东科技,2020-04-05,0,0
复工后的AI企业：危与机的角逐,管浩,华东科技,2020-04-05,0,0
孵化器的“云培训”,俞灵琦,华东科技,2020-04-05,0,0
制造业“智能化”加速,管浩,华东科技,2020-04-05,0,0
如何构筑中小企业“护城河”？——漕河泾开发区科技型中小企业抗击疫情、复工复产调研,朱冠楠; 姚家宽; 周英,华东科技,2020-04-05,0,0
2020数字金融峰会,,华东科技,2020-04-05,0,0
智联网大会2020（物联网、人工智能、5G、区块链）,,华东科技,2020-04-05,0,0
积极找准青岛经济转型升级的方向,青岛市社会科学院 冷静,青岛日报,2020-04-05,0,0
科技抗疫彰显中国力量,墨西哥国立自治大学医学院公共卫生系教授 玛拉基亚斯·洛佩斯·塞万提斯 本报驻墨西哥记者 刘旭霞 采访整理,人民日报,2020-04-05,0,0
人工智能视角下双渠道供应链的创新驱动因素研究,沙蓓蓓,食品研究与开发,2020-04-04,0,164
大数据时代网络犯罪的刑法应对——兼论人工智能犯罪的规制,庞云霞; 张有林,重庆大学学报(社会科学版),2020-04-03,0,289
算法共谋:边界的确定及其反垄断法规制,李丹,广东财经大学学报,2020-04-03,0,38
基于DDPG的风电场动态参数智能校核知识学习模型,周庆锋; 王思淳; 李德鑫; 刘佳琪; 李同,中国电力,2020-04-03,0,61
数字经济促进城市经济高质量发展的机制与路径,师博,西安财经学院学报,2020-04-03,0,125
新型数字基础设施促进我国高质量发展的路径,钞小静,西安财经学院学报,2020-04-03,0,88
人工智能引领学校人才培养方式变革,华东师范大学教育学部 侯浩翔,中国社会科学报,2020-04-03,0,3
抓住“危中之机”，瞄准未来产业发展新靶点,市政协委员、上海社会科学院经济研究所所长 沈开艳,联合时报,2020-04-03,0,0
人工智能奇点与人类未来,中国社会科学院文学研究所 刘方喜,中国社会科学报,2020-04-03,0,0
人工智能时代重启人文概念,华东师范大学中文系 王峰,中国社会科学报,2020-04-03,0,0
媒介的智能化：AI艺术的“技术性基础”,四川大学文学与新闻学院 马睿,中国社会科学报,2020-04-03,0,0
计算创造力与计算批评,中国社会科学院文学研究所 赵薇,中国社会科学报,2020-04-03,0,0
人工智能时代的艺术创造性,南京大学艺术学院 陈静,中国社会科学报,2020-04-03,0,0
新人工智能对经济的潜在影响,中国社会科学院数量经济与技术经济研究所 蔡跃洲,中国社会科学报,2020-04-03,0,0
文本的中性：人工智能对作者文学的挑战,西北师范大学文学院 徐晓军,中国社会科学报,2020-04-03,0,0
“新基建”为中国经济注入新动能,南开大学经济学院 何自力,中国城乡金融报,2020-04-03,0,0
人工智能培育数字经济发展新动能,科大讯飞股份有限公司董事长 刘庆峰,河北日报,2020-04-03,0,0
人工智能时代更需重视劳动教育,戴菁,学习时报,2020-04-03,0,0
COVID-19 andartificial intelligence: protecting health-care workers and curbing the spread,Becky McCall,,2020-04-03,0,0
Comparison of Vehicle Detection Techniques applied to IP Camera Video Feeds for use inIntelligentTransport Systems,Mark Bugeja;;Alexiei Dingli;;Maria Attard;;Dylan Seychell,,2020-04-03,0,0
Predicting jet-grout column diameter to mitigate the environmental impact using anartificial intelligencealgorithm,Zhi-Feng Wang;;Wen-Chieh Cheng,,2020-04-03,0,0
"Transitioning Chemistry, Manufacturing, and Controls Content With a Structured Data Management Solution: Streamlining Regulatory Submissions",Marquerita Algorri;;Nina S. Cauchon;;Michael J. Abernathy,,2020-04-03,0,0
INNOVATIONS IN DEMENTIA CARE USING SENSORS ANDARTIFICIAL INTELLIGENCE,Andrea Iaboni;;Dallas Seitz;;Ipsit Vahia,,2020-04-03,0,0
The Next Breakthroughs ofArtificial Intelligence: The Interdisciplinary Nature of AI,Yueting Zhuang;;Ming Cai;;Xuelong Li;;Xiangang Luo;;Qiang Yang;;Fei Wu,,2020-04-03,0,0
CME Exam 1: Use ofArtificial Intelligence-Based Analytics From Live Colonoscopies to Optimize the Quality of the Colonoscopy Examination in Real Time: Proof of Concept,,,2020-04-03,0,0
Hype or reality? WillArtificial Intelligenceactually make us better at performing optical biopsy of colon polyps?,Michael F. Byrne,,2020-04-03,0,0
Artificial intelligencein medicine,Mariella Scerri;;Victor Grech,,2020-04-03,0,0
A novel image measurement algorithm for common mushroom caps based on convolutional neural network,Chuan-Pin Lu;;Jiun-Jian Liaw,,2020-04-03,0,0
Artificial intelligencebased power consumption estimation of two-phase brushless DC motor according to FEA parametric simulation,Kadir Sabanci,,2020-04-03,0,0
"Discussion of “Comparative assessment of time series andartificial intelligencemodels to estimate monthly streamflow: A local and external data analysis approach” by Saeid Mehdizadeh, Farshad Fathian, Mir Jafar Sadegh Safari and Jan F. Adamowski",Isa Ebtehaj;;Mohammad Zeynoddin;;Hossein Bonakdari,,2020-04-03,0,0
Artificial intelligence-derived imaging biomarkers to improve population health,Jakob Weiss;;Udo Hoffmann;;Hugo J W L Aerts,,2020-04-03,0,0
Behavioural finance in an era ofartificial intelligence: Longitudinal case study of robo-advisors in investment decisions,Manchuna Shanmuganathan,,2020-04-03,0,0
"Machine learning in infection management using routine electronic health records: tools, techniques, and reporting of future technologies",C.F. Luz;;M. Vollmer;;J. Decruyenaere;;M.W. Nijsten;;C. Glasner;;B. Sinha,,2020-04-03,0,0
Artificial Intelligencefor Diagnosis of Acute Coronary Syndromes: A Meta-analysis of Machine Learning Approaches,Patrick A. Iannattone;;Xun Zhao;;Jacob VanHouten;;Akhil Garg;;Thao Huynh,,2020-04-03,0,0
Revisión de métodos computacionales de detección y clasificación de pólipos en imagen de colonoscopia,Cristina Sánchez-Montes;;Jorge Bernal;;Ana García-Rodríguez;;Henry Córdova;;Gloria Fernández-Esparrach,,2020-04-03,0,0
Image analysis andartificial intelligencein infectious disease diagnostics,Kenneth P. Smith;;James E. Kirby,,2020-04-03,0,0
Use ofArtificial Intelligence-Based Analytics From Live Colonoscopies to Optimize the Quality of the Colonoscopy Examination in Real Time: Proof of Concept,Shyam Thakkar;;Neil M. Carleton;;Bharat Rao;;Aslam Syed,,2020-04-03,0,0
Ethical principles for the application ofartificial intelligence(AI) in nuclear medicine,Geoff Currie;;K Elizabeth Hawk;;Eric M. Rohren,,2020-04-03,0,0
Speech recognition in English cultural promotion via recurrent neural network,Jian Wang,,2020-04-03,0,0
Machine learning algorithms for forecasting the incidence of Coffea arabica pests and diseases,Lucas Eduardo de Oliveira Aparecido;;Glauco de Souza Rolim;;Jose Reinaldo da Silva Cabral De Moraes;;Cicero Teixeira Silva Costa;;Paulo Sergio de Souza,,2020-04-03,0,0
数据驱动技术在虚拟电厂中的应用综述,李昭昱;艾芊;张宇帆;殷爽睿;孙东磊;李雪亮,电网技术,2020-04-02,0,85
科大讯飞股权激励案例分析,孙方虎,商讯,2020-04-02,0,213
人工智能背景下证券公司的财务管理转型探究,王春柳,中国商论,2020-04-02,0,97
浅谈人工智能对B银行财务人员的影响及对策,耿斯,中国商论,2020-04-02,0,59
"人工智能环境下,财务工作的转型及应对",邓晖; 张伟利,中国商论,2020-04-02,0,171
打造创新发展新动能,市智慧城市规划标准发展研究院(市工业和智能经济研究院) 金虹 常金龙,宁波日报,2020-04-02,0,25
推进城市治理体系和治理能力现代化,本报评论员,科技日报,2020-04-02,0,72
新一代信息基础设施引领“新基建”,中国工程院院士 邬贺铨 本报记者 整理 秦志伟,中国科学报,2020-04-02,0,0
新冠肺炎疫情能否成为所有企业不履行合同的“护身符”？,浙江振邦律师事务所 赵嘉琪,建筑时报,2020-04-02,0,0
Found in Translation: Unpacking theArtificial IntelligenceRevolution That Has Already Arrived,Oz Woloshyn;;Karah Preiss;;Steven P. Rowe;;Elliot K. Fishman;;Linda C. Chu,,2020-04-02,0,0
